_id,app_no,similar,keyword,app_name,download_num,source,link,size,download_url
61b41751bbd348039f1220ba,0,1,王牌战争:文明重启,王牌战争,1071万,baidu,/game/30258345.html,1.96GB,http://signd.bd.duoku.com/service/cloudapk_sign_online/64000/64073/64073_1632303300_GP60031.apk
61b41752bbd348039f122107,9,1,奇趣大冒险,奇趣大冒险,162万,baidu,/game/26968818.html,583.11MB,http://p.gdown.baidu.com/70deb0a467b738aba49422544c69398886a564eaf8360868d4c1f1fcc10a605bf15608fc3c358691ac86e5b631709354ad92b47cb1309cf59a04f2384fcc512507f8536c1afb89899e38131d676378e84daf88d7be3bd5dfb2f2e1239151d016b527eec4136c2590c4dd4d5a5ce68f470a6f1a1ee9c9733df8e95d8a71bd65592f0dfd657c29cadbf27b8f93af6a749b2fdf3bc040c15bd0a652d14563146a32b6704250a5e3b8431527a907fbc13e78ca33ca3c899e030dfbee25412378574954cfc49604b4cb06284fa51f5bb5f3312093102d7e6c0d3e44e04fc1eab866ac8ac6014bec43ca70fa9eb2fbbced1de05dfadbfc3a0f7e66ae2e3d6f9950f2882b38fd63c4ca380d0c50fe64de53fdf899a9ba4880274af4ad3d03ca0c044ba462a95addb52cfbb8
61b41752bbd348039f1220e4,11,1,BBQ,BBQ Tracker,3571,baidu,/software/25626688.html,7.34MB,http://p.gdown.baidu.com/96fb49773e51060162d557deaff93382d2012db242c41351181dff1b6e778d8f39655cbe2207b3d153b171b88093c104236994a8db4db53f3cd8a4f8d9ce14163c1bfff8ca13fe3f967ab2dbd24dd4c41004b2b6998340b2ef0beaf2b7cfdf86ca7ae4ed7b6698c9879b39cf136ba47c656fa6d5ef5ab836cd6f42080519bc40c823dbc2aff554ef6039ef0da4cca5f11ed9c4bdbcde72683d6125ca264c310a1538926fee90cd00fb934318af3e666e51040f3f474f0c41c30914d2b3078512e4ac9738e497283f5199902fda4718929f607e71282741f6d2040961f8e307ed281149e1f630aacdfe9f6d567b4362f6
61b41752bbd348039f1220da,14,1,辐射：避难所Online,辐射：避难所Online,47万,baidu,/game/27569389.html,1.08GB,http://signd.bd.duoku.com/service/cloudapk_sign_online/60000/60027/60027_1604026207_GP60035.apk
61b41752bbd348039f122106,15,1,天瞳护眼,护眼,67万,baidu,/software/26866465.html,3.74MB,http://p.gdown.baidu.com/42b279b2f25db23327554a0bdb5ac8101538c3858c8dd8602cbaec19700e193d64dacb3be4a2a9e5fcda8d92dff2984e5cf66fc70c3094e2fa212a05b3644dbc28b0c632229221756cf6ed2f9a837fce73a28974289fe7fa8ffd8fc3f6240fcce1af128c69e520d5f1eda8f3691eded6b9e6f0e6059cb10262c9251583f046f03b52ef02084f21212679cbf59d6675c4ed9afba1d1c79d2ac41453fafe631c987c56801161690fbbaa15148469dd975cc1250aa4f4faf9711d8dec1225844265326b93f9909a5ec17557281fd4ba62e49bc8958bd8b5f089b5b50f0b8e2d03bcc7bdf30de49d5e8d478e728591cc38a5365d7e58f68087e1b8420f96f1a4d67c
61b41753bbd348039f122133,23,1,写小说,写小说,102万,baidu,/software/30289870.html,17.13MB,http://p.gdown.baidu.com/a41fb9c0367fcf586894649ade70accb1b9504eab962c18e25defb99be73525da1c5f051b54eb82ec6f51d98e0533f016ecfbc6600813df9d2364b36e80a02171f929b4b9fdb7b356003bd9f8d4c870c51ba587eb441b3dce35f0351783c33a80f9a95f2a6fff34b6a80b057b68b4a276c40d9b62890840eb656ab2b606464419c7d504a77baa2642093102d7e6c0d3e864c57b7af5c25bdce2af8f36e3bc6dfd932c9f767e92d75f3bde8c5b275aaee31f0d48c441bebfc1c6849182b9aeb080c334422788578f7a7f9591224637feceb2af99a567b175690aaec9c7639afadbf8b93467438223eada98059bde9be08
61b41753bbd348039f122174,31,1,霍尼韦尔家居,霍尼韦尔家居,9535,baidu,/software/29366683.html,153.34MB,http://p.gdown.baidu.com/33243129b6e2314a5af5ef5458f40583a3750221191f0877c012c94873c3f40a94918bffc3ad511c81a6727fec1f0e1ac2809d8d0db2d896a6ec399a46b1afaf3881d0786540fdbc2204a51a0132e757552975baca8c0116d790a3393857e8588646f8604d5d9faa5c95256da418cf2081cb0d38650fd702a2ad12da9442c957aa7dfd17cc064166a2b8e10fa9eed6a48e2f8c02efe9d43dea6ed425b05ed4eb93c4ff3fafe37ec9d6ef2666ce0d2eb7162e952ae8ab888df132b4acfa02767b34074bc2d7866552dd27c96b00f9414e443e21b06f8dce3bc1250aa4f4faf971658da0d55a3bc242a7dfa160ecb06196230d1769726b5165ebaa1261e6bbaa6a5bbc9867eb26dc667278659f650f3d8526bb809dd13c723e72719337f32eb28a227ff79b57baa7862a249e9696671716515e5f96bb683237b8420f96f1a4d67c
61b41754bbd348039f1221bd,44,1,临床思维综合训练系统,临床思维综合训练系统,50,baidu,/software/30632663.html,23.97MB,http://p.gdown.baidu.com/49d92c6cb5a02dd8e678f513c6e245873038b9cb8544f7cd2d7529fb7a49010b2e6d4cbd64ffffbf7904611a06cd5695141cf0cf4368df61b55122cdb183809b2b9355b55c87a322e55d92d4cba01c6d945e4ce03c9ea7dd7db1731e5256e95a61790222d25e51733cbc4d1b799e8a8ad57dbe878bfad99a78ca5ca64adeaec97a2b865fda4042a14ec4617d9f90f56946fdf08ebb5c6d59
61b41755bbd348039f1221d8,48,1,暴风影音,暴风影音,1893万,baidu,/software/29967449.html,35.12MB,http://p.gdown.baidu.com/b8e0eaed7ca6bc6fcea93a083e7f6918adb6b57656834d9e646cb83f1e97cd49f0741b6b1eae0c6f1422f743e4b8ddac0811edfded7e1fb0019dabe41877ccb92f3ccef2063fcdcb82e4558c0d97743132ceab0afdf9bfee2df3e78380446b0e3876e35146d2f0e61538926fee90cd00f467a9a9f0ca8d8ebb7fca2a8bcc758cfbee6557be0fa81773dfdcf22189efd86c002e7365a64bea136f499ab5028df5a02fd6c10a247ede767f3587c5cadaf27ae965cc12cc8c418714a1c5d51e8e1a4451e8037286374b
61b41758bbd348039f122296,79,1,八八租车,八八租车,1553,baidu,/software/27286643.html,22.79MB,http://p.gdown.baidu.com/d44d013e76bcf144428bd9f044876513a9f02b1ce734c84fc90bfa8d2fba3890f8cadf42fe26d0b81cf3bd52a073f9917d11ada98784158aebc9691a1ea2d64c063286ef70bc98b69e3d6d8dc5744d04ff5c1c13c52684b4b85ecb5d5fef34ed2657f5db4f380dbcb7faf2df614cb38d1c970f2d8fc3f90fe9423c1dc86e32e080249f87b98fee3c54e717b5d7208f6653295f006f8545dbef69018216262e985cf2c04fed0f5b43e82ed2d8578109af7acda3221b783e8d6b9d5b935c8d5b392bcd7bc87ee72d71f6cb402864504951d91f90ddea0eb2e53bb9bcfcf59c0c19141cf0cf4368df61f8049acb17fb858dde91345113f832df7c3814bfa2c58be571708ba437950b74baec68178b42ce504be62dc351361dac52bb4d8a4066baf7028b36727468c20a15a6383401023dd6e1876e3bef59fdbcc02b239998cb26eb6bfdd9c3e3c903c1
